Goal,Sample,Name,Matrix,EG_group,EG_block,Florinated,Flor_block,GP_conc_tar,GP_conc_act,CP,CP_conc_tar,CP_conc_act,Solvent,Tot_conc_tar,Tot_conc_act,Highq_trim,lowq_trim,Filename
Sample,982,P3HT_2.5_DEG50F25b_2.5_dTHF,DEG50F25b,DEG,50,F,25b,2.5,2.61,RRe-P3HT,2.5,3.23,dTHF,5,5.84,100,33,P3HT_2p5D50F25b_2p5dTHF.s
Sample,983,P3HT_2.5_DEG50F50_2.5_dTHF,DEG50F50,DEG,50,F,50,2.5,3.63,RRe-P3HT,2.5,3.12,dTHF,5,6.75,100,30,P3HT_2p5D50F50_2p5dTHF.su
Sample,984,P3HT_2.5_PEG50F25_2.5_dTHF,PEG50F25,PEG,50,F,25,2.5,3.24,RRe-P3HT,2.5,2.3,dTHF,5,5.54,100,33,P3HT2p5P50F25_2p5dTHF.sub
Sample,985,P3HT_2.5_PEG50F50_2.5_dTHF,PEG50F50,PEG,50,F,50,2.5,3.07,RRe-P3HT,2.5,2.39,dTHF,5,5.46,100,33,P3HT2p5P50F50_2p5dTHF.sub
Sample,114,DEG50F25_10_dTHF50,DEG50F25,DEG,50,F,25,10,10.10,none,0,,dTHF50,,,110,0,D50F25_10dTHF50.sub
Sample,116,DEG50F50_10_dTHF50,DEG50F50,DEG,50,F,50,10,9.80,none,0,,dTHF50,,,110,0,D50F50_10dTHF50.sub
Sample,118,DEG50F75_10_dTHF50,DEG50F75,DEG,50,F,75,10,10.10,none,0,,dTHF50,,,110,0,D50F75_10dTHF50.sub
Sample,115,P3K4T_10_DEG50F25_10_dTHF50,DEG50F25,DEG,50,F,25,10,10.10,P3K4T,10,10.2,dTHF50,,,100,0,P3K4T10D50F25_10dTHF50.su
Sample,119,P3K4T_10_DEG50F75_10_dTHF50,DEG50F75,DEG,50,F,75,10,9.80,P3K4T,10,10.2,dTHF50,,,100,5,P3K4T10D50F75_10dTHF50.su
Sample,123,P3K4T_10_dTHF0,none,,,,,0,0.00,P3K4T,10,,dTHF0,,,100,40,P3K4T_10_D2O.sub
Control,122,P3K4T_10_dTHF50,none,,,,,0,0.00,P3K4T,10,,dTHF50,,,100,5,P3K4T_10dTHF50.sub
Sample,151,P3K6T_10_DEG50F50_10_dTHF50,DEG50F50,DEG,50,F,50,10,10.10,P3K6T,10,10.2,dTHF50,,,100,5,P3K6T10D50F50_10dTHF50.su
Sample,148,P3K5T_10_dTHF0,none,,,,,0,0.00,P3K5T,10,,dTHF0,,,100,5,P3K5T_10_dTHF0.sub
Sample,149,P3K6T_10_dTHF0,none,,,,,0,0.00,P3K6T,10,,dTHF0,,,100,40,P3K6T_10_dTHF0.sub
Sample,150,P3K7T_10_dTHF0,none,,,,,0,0.00,P3K7T,10,,dTHF0,,,100,5,P3K7T_10_dTHF0.sub
Sample,970,PEG50F25_1_dTHF50,PEG50F25,PEG,50,F,25,1,0.83,none,0,0,dTHF50,1,0,125,15,P50F25_1dTHF50.sub
Control,950,PEG50F25_10_dCF,PEG50F25,PEG,50,F,25,10,8.50,none,0,0,dCF,10,8.5,130,15,P50F25_10_dCF.sub
Sample,137,PEG50F25_10_dTHF,PEG50F25,PEG,50,F,25,10,,none,0,0,dTHF,,,100,20,P50F25_10_dTHF.sub
Sample,134,PEG50F25_10_dTHF25,PEG50F25,PEG,50,F,25,10,9.37,none,0,0,dTHF25,,,100,10,P50F25_10_dTHF25.sub
Sample,135,PEG50F25_10_dTHF50,PEG50F25,PEG,50,F,25,10,9.99,none,0,0,dTHF50,,,110,2,P50F25_10_dTHF50.sub
Sample,136,PEG50F25_10_dTHF75,PEG50F25,PEG,50,F,25,10,8.63,none,0,0,dTHF75,,,110,5,P50F25_10_dTHF75.sub
Control,934,PEG50F25_10_dTol,PEG50F25,PEG,50,F,25,10,11.49,none,0,0,dTol,10,11.49,100,5,P50F25_10dTol.sub
Sample,964,PEG50F25_5_dTHF50,PEG50F25,PEG,50,F,25,5,4.86,none,0,0,dTHF50,5,0,110,5,P50F25_5dTHF50.sub
Sample,971,PEG50F50_1_dTHF50,PEG50F50,PEG,50,F,50,1,0.79,none,0,0,dTHF50,1,0,125,15,P50F50_1dTHF50.sub
Control,951,PEG50F50_10_dCF,PEG50F50,PEG,50,F,50,10,6.53,none,0,0,dCF,10,6.53,130,15,P50F50_10_dCF.sub
Sample,141,PEG50F50_10_dTHF,PEG50F50,PEG,50,F,50,10,,none,0,0,dTHF,,,100,20,P50F50_10_dTHF.sub
Sample,138,PEG50F50_10_dTHF25,PEG50F50,PEG,50,F,50,10,8.95,none,0,0,dTHF25,,,100,10,P50F50_10_dTHF25.sub
Sample,139,PEG50F50_10_dTHF50,PEG50F50,PEG,50,F,50,10,9.94,none,0,0,dTHF50,,,110,2,P50F50_10_dTHF50.sub
Sample,140,PEG50F50_10_dTHF75,PEG50F50,PEG,50,F,50,10,9.00,none,0,0,dTHF75,,,110,5,P50F50_10_dTHF75.sub
Control,935,PEG50F50_10_dTol,PEG50F50,PEG,50,F,50,10,10.17,none,0,0,dTol,10,10.17,100,5,P50F50_10dTol.sub
Sample,965,PEG50F50_5_dTHF50,PEG50F50,PEG,50,F,50,5,4.74,none,0,0,dTHF50,5,0,110,5,P50F50_5dTHF50.sub
Sample,921,RRa_10_DEG50F25_10_dTHF,DEG50F25,DEG,50,F,25,10,9.04,RRa-P3HT,10,14.42,dTHF,20,23.46,100,20,raP3HT10D50F25_10dTHF.sub
Sample,924,RRa_10_DEG50F25b_10_dTHF,DEG50F25b,DEG,50,F,25b,10,9.31,RRa-P3HT,10,13.56,dTHF,20,22.87,100,20,raP3HT10D50F25b_10dTHF.su
Sample,922,RRa_10_DEG50F50_10_dTHF,DEG50F50,DEG,50,F,50,10,9.89,RRa-P3HT,10,13.72,dTHF,20,23.61,100,20,raP3HT10D50F50_10dTHF.sub
Sample,923,RRa_10_DEG50F75_10_dTHF,DEG50F75,DEG,50,F,75,10,10.26,RRa-P3HT,10,12.37,dTHF,20,22.63,100,20,raP3HT10D50F75_10dTHF.sub
Control,920,RRa_10_dTHF,none,,,,,0,0.00,RRa-P3HT,10,,dTHF,10,0,100,20,raP3HT_10_dTHF.sub
Sample,925,RRa_10_PEG50F25_10_dTHF,PEG50F25,PEG,50,F,25,10,9.25,RRa-P3HT,10,14.96,dTHF,20,24.21,100,20,raP3HT10P50F25_10dTHF.sub
Sample,926,RRa_10_PEG50F50_10_dTHF,PEG50F50,PEG,50,F,50,10,10.23,RRa-P3HT,10,12.76,dTHF,20,22.99,100,20,raP3HT10P50F50_10dTHF.sub
