<X> <Y>
3.262222009711670e-03 7.162387771182678e+10
3.284857366030043e-03 7.162047954018930e+10
3.307649780744242e-03 7.161703418870403e+10
3.330600343624588e-03 7.161354100433641e+10
3.353710152002929e-03 7.160999932503770e+10
3.376980310825091e-03 7.160640847968768e+10
3.400411932703706e-03 7.160276778790932e+10
3.424006137971426e-03 7.159907655999762e+10
3.447764054734464e-03 7.159533409673608e+10
3.471686818926559e-03 7.159153968932877e+10
3.495775574363275e-03 7.158769261921927e+10
3.520031472796679e-03 7.158379215798216e+10
3.544455673970436e-03 7.157983756719820e+10
3.569049345675230e-03 7.157582809829851e+10
3.593813663804626e-03 7.157176299242937e+10
3.618749812411280e-03 7.156764148032774e+10
3.643858983763544e-03 7.156346278217644e+10
3.669142378402494e-03 7.155922610744633e+10
3.694601205199302e-03 7.155493065476422e+10
3.720236681413066e-03 7.155057561177957e+10
3.746050032748993e-03 7.154616015498535e+10
3.772042493416998e-03 7.154168344958012e+10
3.798215306190736e-03 7.153714464933717e+10
3.824569722466999e-03 7.153254289641943e+10
3.851107002325569e-03 7.152787732124240e+10
3.877828414589457e-03 7.152314704229776e+10
3.904735236885560e-03 7.151835116602203e+10
3.931828755705771e-03 7.151348878660487e+10
3.959110266468458e-03 7.150855898584178e+10
3.986581073580439e-03 7.150356083295816e+10
4.014242490499322e-03 7.149849338444583e+10
4.042095839796306e-03 7.149335568389351e+10
4.070142453219439e-03 7.148814676181143e+10
4.098383671757262e-03 7.148286563544319e+10
4.126820845702952e-03 7.147751130861748e+10
4.155455334718876e-03 7.147208277154160e+10
4.184288507901581e-03 7.146657900062587e+10
4.213321743847289e-03 7.146099895830695e+10
4.242556430717777e-03 7.145534159285124e+10
4.271993966306777e-03 7.144960583817004e+10
4.301635758106795e-03 7.144379061363248e+10
4.331483223376399e-03 7.143789482385539e+10
4.361537789208006e-03 7.143191735852988e+10
4.391800892596086e-03 7.142585709219885e+10
4.422273980505897e-03 7.141971288407002e+10
4.452958509942656e-03 7.141348357780756e+10
4.483855948021186e-03 7.140716800132190e+10
