<X> <Y>
2.508415059277541e-03 2.503897154673644e+11
2.525820026962785e-03 2.503582005257502e+11
2.543345761304648e-03 2.503262502439547e+11
2.560993100258459e-03 2.502938586580063e+11
2.578762887593801e-03 2.502610197236263e+11
2.596655972934872e-03 2.502277273151854e+11
2.614673211801092e-03 2.501939752246504e+11
2.632815465648020e-03 2.501597571605161e+11
2.651083601908539e-03 2.501250667467242e+11
2.669478494034321e-03 2.500898975215770e+11
2.688001021537607e-03 2.500542429366249e+11
2.706652070033241e-03 2.500180963555529e+11
2.725432531281028e-03 2.499814510530477e+11
2.744343303228365e-03 2.499443002136541e+11
2.763385290053170e-03 2.499066369306156e+11
2.782559402207126e-03 2.498684542047049e+11
2.801866556459195e-03 2.498297449430410e+11
2.821307675939471e-03 2.497905019578853e+11
2.840883690183304e-03 2.497507179654341e+11
2.860595535175742e-03 2.497103855845926e+11
2.880444153396298e-03 2.496694973357316e+11
2.900430493863992e-03 2.496280456394371e+11
2.920555512182745e-03 2.495860228152404e+11
2.940820170587064e-03 2.495434210803343e+11
2.961225437988034e-03 2.495002325482789e+11
2.981772290019673e-03 2.494564492276881e+11
3.002461709085549e-03 2.494120630209042e+11
3.023294684405777e-03 2.493670657226556e+11
3.044272212064303e-03 2.493214490187043e+11
3.065395295056527e-03 2.492752044844721e+11
3.086664943337274e-03 2.492283235836557e+11
3.108082173869064e-03 2.491807976668273e+11
3.129648010670750e-03 2.491326179700160e+11
3.151363484866479e-03 2.490837756132792e+11
3.173229634734976e-03 2.490342615992538e+11
3.195247505759214e-03 2.489840668116944e+11
3.217418150676372e-03 2.489331820139950e+11
3.239742629528196e-03 2.488815978476960e+11
3.262222009711670e-03 2.488293048309744e+11
3.284857366030043e-03 2.487762933571188e+11
3.307649780744242e-03 2.487225536929873e+11
3.330600343624588e-03 2.486680759774510e+11
3.353710152002929e-03 2.486128502198210e+11
3.376980310825091e-03 2.485568662982569e+11
3.400411932703706e-03 2.485001139581631e+11
3.424006137971426e-03 2.484425828105664e+11
3.447764054734464e-03 2.483842623304756e+11
3.471686818926559e-03 2.483251418552291e+11
3.495775574363275e-03 2.482652105828228e+11
3.520031472796679e-03 2.482044575702204e+11
3.544455673970436e-03 2.481428717316513e+11
3.569049345675230e-03 2.480804418368880e+11
3.593813663804626e-03 2.480171565095081e+11
3.618749812411280e-03 2.479530042251422e+11
3.643858983763544e-03 2.478879733096990e+11
3.669142378402494e-03 2.478220519375796e+11
3.694601205199302e-03 2.477552281298720e+11
3.720236681413066e-03 2.476874897525302e+11
3.746050032748993e-03 2.476188245145353e+11
3.772042493416998e-03 2.475492199660400e+11
3.798215306190736e-03 2.474786634964966e+11
3.824569722466999e-03 2.474071423327689e+11
3.851107002325569e-03 2.473346435372263e+11
3.877828414589457e-03 2.472611540058218e+11
3.904735236885560e-03 2.471866604661518e+11
3.931828755705771e-03 2.471111494755012e+11
3.959110266468458e-03 2.470346074188715e+11
3.986581073580439e-03 2.469570205069908e+11
4.014242490499322e-03 2.468783747743090e+11
4.042095839796306e-03 2.467986560769754e+11
4.070142453219439e-03 2.467178500908009e+11
4.098383671757262e-03 2.466359423092026e+11
4.126820845702952e-03 2.465529180411336e+11
4.155455334718876e-03 2.464687624089952e+11
4.184288507901581e-03 2.463834603465352e+11
4.213321743847289e-03 2.462969965967278e+11
4.242556430717777e-03 2.462093557096403e+11
4.271993966306777e-03 2.461205220402822e+11
4.301635758106795e-03 2.460304797464395e+11
4.331483223376399e-03 2.459392127864950e+11
4.361537789208006e-03 2.458467049172314e+11
4.391800892596086e-03 2.457529396916219e+11
4.422273980505897e-03 2.456579004566030e+11
4.452958509942656e-03 2.455615703508369e+11
4.483855948021186e-03 2.454639323024563e+11
4.514967772036102e-03 2.453649690267967e+11
4.546295469532400e-03 2.452646630241158e+11
4.577840538376616e-03 2.451629965772971e+11
4.609604486828434e-03 2.450599517495430e+11
4.641588833612777e-03 2.449555103820535e+11
4.673795107992464e-03 2.448496540916942e+11
4.706224849841282e-03 2.447423642686489e+11
4.738879609717651e-03 2.446336220740646e+11
4.771760948938746e-03 2.445234084376819e+11
4.804870439655129e-03 2.444117040554567e+11
4.838209664925958e-03 2.442984893871696e+11
4.871780218794631e-03 2.441837446540264e+11
4.905583706365045e-03 2.440674498362487e+11
4.939621743878321e-03 2.439495846706556e+11
4.973895958790063e-03 2.438301286482362e+11
5.008407989848212e-03 2.437090610117145e+11
5.043159487171359e-03 2.435863607531071e+11
5.078152112327670e-03 2.434620066112733e+11
