<X> <Y>
1.472882723907502e-03 1.008473762197908e+12
1.483102514336104e-03 1.008443523448834e+12
1.493393216124252e-03 1.008412864487004e+12
1.503755321299738e-03 1.008381779485275e+12
1.514189325304352e-03 1.008350262536043e+12
1.524695727017575e-03 1.008318307650148e+12
1.535275028780423e-03 1.008285908755748e+12
1.545927736419477e-03 1.008253059697197e+12
1.556654359271062e-03 1.008219754233889e+12
1.567455410205595e-03 1.008185986039112e+12
1.578331405652118e-03 1.008151748698849e+12
1.589282865622978e-03 1.008117035710610e+12
1.600310313738700e-03 1.008081840482202e+12
1.611414277253020e-03 1.008046156330513e+12
1.622595287078087e-03 1.008009976480272e+12
1.633853877809862e-03 1.007973294062787e+12
1.645190587753663e-03 1.007936102114673e+12
1.656605958949913e-03 1.007898393576559e+12
1.668100537200059e-03 1.007860161291778e+12
1.679674872092653e-03 1.007821398005038e+12
1.691329517029649e-03 1.007782096361084e+12
1.703065029252844e-03 1.007742248903332e+12
1.714881969870539e-03 1.007701848072488e+12
1.726780903884356e-03 1.007660886205147e+12
1.738762400216250e-03 1.007619355532387e+12
1.750827031735725e-03 1.007577248178318e+12
1.762975375287206e-03 1.007534556158635e+12
1.775208011717634e-03 1.007491271379142e+12
1.787525525904235e-03 1.007447385634256e+12
1.799928506782477e-03 1.007402890605499e+12
1.812417547374238e-03 1.007357777859954e+12
1.824993244816152e-03 1.007312038848721e+12
1.837656200388170e-03 1.007265664905338e+12
1.850407019542302e-03 1.007218647244182e+12
1.863246311931560e-03 1.007170976958856e+12
1.876174691439121e-03 1.007122645020552e+12
1.889192776207666e-03 1.007073642276390e+12
1.902301188668944e-03 1.007023959447737e+12
1.915500555573528e-03 1.006973587128499e+12
1.928791508020778e-03 1.006922515783403e+12
1.942174681489027e-03 1.006870735746244e+12
1.955650715865949e-03 1.006818237218111e+12
1.969220255479171e-03 1.006765010265599e+12
1.982883949127072e-03 1.006711044818983e+12
1.996642450109793e-03 1.006656330670382e+12
2.010496416260499e-03 1.006600857471890e+12
2.024446509976804e-03 1.006544614733685e+12
2.038493398252464e-03 1.006487591822115e+12
2.052637752709252e-03 1.006429777957759e+12
2.066880249629082e-03 1.006371162213458e+12
2.081221569986339e-03 1.006311733512327e+12
2.095662399480433e-03 1.006251480625735e+12
2.110203428568597e-03 1.006190392171269e+12
2.124845352498883e-03 1.006128456610653e+12
2.139588871343421e-03 1.006065662247660e+12
2.154434690031884e-03 1.006001997225989e+12
2.169383518385184e-03 1.005937449527109e+12
2.184436071149428e-03 1.005872006968081e+12
2.199593068030075e-03 1.005805657199355e+12
2.214855233726359e-03 1.005738387702532e+12
2.230223297965939e-03 1.005670185788098e+12
2.245697995539774e-03 1.005601038593135e+12
2.261280066337279e-03 1.005530933078994e+12
2.276970255381680e-03 1.005459856028948e+12
2.292769312865649e-03 1.005387794045804e+12
2.308677994187170e-03 1.005314733549492e+12
2.324697059985648e-03 1.005240660774621e+12
2.340827276178294e-03 1.005165561768007e+12
2.357069413996728e-03 1.005089422386160e+12
2.373424250023866e-03 1.005012228292754e+12
2.389892566231050e-03 1.004933964956046e+12
2.406475150015424e-03 1.004854617646284e+12
2.423172794237601e-03 1.004774171433061e+12
2.439986297259550e-03 1.004692611182651e+12
2.456916462982790e-03 1.004609921555306e+12
2.473964100886814e-03 1.004526087002514e+12
2.491130026067788e-03 1.004441091764230e+12
2.508415059277541e-03 1.004354919866073e+12
2.525820026962785e-03 1.004267555116475e+12
2.543345761304648e-03 1.004178981103814e+12
2.560993100258459e-03 1.004089181193490e+12
2.578762887593801e-03 1.003998138524985e+12
2.596655972934872e-03 1.003905836008870e+12
2.614673211801092e-03 1.003812256323783e+12
2.632815465648020e-03 1.003717381913366e+12
2.651083601908539e-03 1.003621194983169e+12
2.669478494034321e-03 1.003523677497510e+12
2.688001021537607e-03 1.003424811176298e+12
2.706652070033241e-03 1.003324577491819e+12
2.725432531281028e-03 1.003222957665480e+12
2.744343303228365e-03 1.003119932664513e+12
2.763385290053170e-03 1.003015483198643e+12
2.782559402207126e-03 1.002909589716703e+12
2.801866556459195e-03 1.002802232403231e+12
2.821307675939471e-03 1.002693391174994e+12
2.840883690183304e-03 1.002583045677499e+12
2.860595535175742e-03 1.002471175281445e+12
2.880444153396298e-03 1.002357759079137e+12
2.900430493863992e-03 1.002242775880853e+12
2.920555512182745e-03 1.002126204211176e+12
2.940820170587064e-03 1.002008022305274e+12
2.961225437988034e-03 1.001888208105135e+12
2.981772290019673e-03 1.001766739255763e+12
3.002461709085549e-03 1.001643593101327e+12
3.023294684405777e-03 1.001518746681256e+12
3.044272212064303e-03 1.001392176726302e+12
3.065395295056527e-03 1.001263859654542e+12
3.086664943337274e-03 1.001133771567346e+12
3.108082173869064e-03 1.001001888245286e+12
3.129648010670750e-03 1.000868185144004e+12
3.151363484866479e-03 1.000732637390030e+12
3.173229634734976e-03 1.000595219776551e+12
3.195247505759214e-03 1.000455906759130e+12
