<X> <Y>
1.902301188668944e-03 7.162936332140666e+10
1.915500555573528e-03 7.162604129979533e+10
1.928791508020778e-03 7.162267315205888e+10
1.942174681489027e-03 7.161925823963530e+10
1.955650715865949e-03 7.161579591517554e+10
1.969220255479171e-03 7.161228552242719e+10
1.982883949127072e-03 7.160872639610667e+10
1.996642450109793e-03 7.160511786178293e+10
2.010496416260499e-03 7.160145923575127e+10
2.024446509976804e-03 7.159774982490508e+10
2.038493398252464e-03 7.159398892661160e+10
2.052637752709252e-03 7.159017582858096e+10
2.066880249629082e-03 7.158630980873615e+10
2.081221569986339e-03 7.158239013507993e+10
2.095662399480433e-03 7.157841606555917e+10
2.110203428568597e-03 7.157438684793259e+10
2.124845352498883e-03 7.157030171962785e+10
2.139588871343421e-03 7.156615990760532e+10
2.154434690031884e-03 7.156196062821562e+10
2.169383518385184e-03 7.155770308705615e+10
2.184436071149428e-03 7.155338647882477e+10
2.199593068030075e-03 7.154900998717447e+10
2.214855233726359e-03 7.154457278456355e+10
2.230223297965939e-03 7.154007403210254e+10
2.245697995539774e-03 7.153551287940559e+10
2.261280066337279e-03 7.153088846442995e+10
2.276970255381680e-03 7.152619991332458e+10
2.292769312865649e-03 7.152144634026711e+10
2.308677994187170e-03 7.151662684730290e+10
2.324697059985648e-03 7.151174052418405e+10
2.340827276178294e-03 7.150678644820276e+10
2.357069413996728e-03 7.150176368402293e+10
2.373424250023866e-03 7.149667128351358e+10
2.389892566231050e-03 7.149150828557147e+10
2.406475150015424e-03 7.148627371595494e+10
2.423172794237601e-03 7.148096658709866e+10
2.439986297259550e-03 7.147558589794235e+10
2.456916462982790e-03 7.147013063374695e+10
2.473964100886814e-03 7.146459976591074e+10
2.491130026067788e-03 7.145899225178476e+10
2.508415059277541e-03 7.145330703448570e+10
2.525820026962785e-03 7.144754304270407e+10
2.543345761304648e-03 7.144169919051251e+10
2.560993100258459e-03 7.143577437716972e+10
2.578762887593801e-03 7.142976748692386e+10
2.596655972934872e-03 7.142367738881165e+10
2.614673211801092e-03 7.141750293645615e+10
2.632815465648020e-03 7.141124296786078e+10
2.651083601908539e-03 7.140489630520108e+10
2.669478494034321e-03 7.139846175461674e+10
2.688001021537607e-03 7.139193810599487e+10
2.706652070033241e-03 7.138532413275659e+10
2.725432531281028e-03 7.137861859163762e+10
2.744343303228365e-03 7.137182022246706e+10
2.763385290053170e-03 7.136492774794281e+10
2.782559402207126e-03 7.135793987340523e+10
2.801866556459195e-03 7.135085528660855e+10
2.821307675939471e-03 7.134367265748505e+10
2.840883690183304e-03 7.133639063791241e+10
2.860595535175742e-03 7.132900786147498e+10
2.880444153396298e-03 7.132152294322037e+10
2.900430493863992e-03 7.131393447941754e+10
2.920555512182745e-03 7.130624104730820e+10
2.940820170587064e-03 7.129844120485567e+10
2.961225437988034e-03 7.129053349049303e+10
2.981772290019673e-03 7.128251642286507e+10
3.002461709085549e-03 7.127438850056929e+10
3.023294684405777e-03 7.126614820189169e+10
3.044272212064303e-03 7.125779398454276e+10
3.065395295056527e-03 7.124932428538582e+10
3.086664943337274e-03 7.124073752016528e+10
3.108082173869064e-03 7.123203208323091e+10
3.129648010670750e-03 7.122320634725731e+10
3.151363484866479e-03 7.121425866296277e+10
3.173229634734976e-03 7.120518735882178e+10
3.195247505759214e-03 7.119599074077591e+10
3.217418150676372e-03 7.118666709194051e+10
3.239742629528196e-03 7.117721467230840e+10
3.262222009711670e-03 7.116763171844962e+10
3.284857366030043e-03 7.115791644320787e+10
3.307649780744242e-03 7.114806703539293e+10
3.330600343624588e-03 7.113808165946973e+10
3.353710152002929e-03 7.112795845524426e+10
3.376980310825091e-03 7.111769553754405e+10
3.400411932703706e-03 7.110729099589728e+10
3.424006137971426e-03 7.109674289420683e+10
