<X> <Y>
1.452653925946781e-03 2.523717427282260e+11
1.462733356201130e-03 2.523677047315108e+11
1.472882723907502e-03 2.523636105643779e+11
1.483102514336104e-03 2.523594594463224e+11
1.493393216124252e-03 2.523552505860180e+11
1.503755321299738e-03 2.523509831811677e+11
1.514189325304352e-03 2.523466564183522e+11
1.524695727017575e-03 2.523422694728764e+11
1.535275028780423e-03 2.523378215086141e+11
1.545927736419477e-03 2.523333116778499e+11
1.556654359271062e-03 2.523287391211199e+11
1.567455410205595e-03 2.523241029670489e+11
1.578331405652118e-03 2.523194023321867e+11
1.589282865622978e-03 2.523146363208417e+11
1.600310313738700e-03 2.523098040249116e+11
1.611414277253020e-03 2.523049045237128e+11
1.622595287078087e-03 2.522999368838068e+11
1.633853877809862e-03 2.522949001588243e+11
1.645190587753663e-03 2.522897933892875e+11
1.656605958949913e-03 2.522846156024289e+11
1.668100537200059e-03 2.522793658120087e+11
1.679674872092653e-03 2.522740430181291e+11
1.691329517029649e-03 2.522686462070463e+11
1.703065029252844e-03 2.522631743509796e+11
1.714881969870539e-03 2.522576264079186e+11
1.726780903884356e-03 2.522520013214271e+11
1.738762400216250e-03 2.522462980204444e+11
1.750827031735725e-03 2.522405154190845e+11
1.762975375287206e-03 2.522346524164321e+11
1.775208011717634e-03 2.522287078963354e+11
1.787525525904235e-03 2.522226807271971e+11
1.799928506782477e-03 2.522165697617619e+11
1.812417547374238e-03 2.522103738369011e+11
1.824993244816152e-03 2.522040917733947e+11
1.837656200388170e-03 2.521977223757099e+11
1.850407019542302e-03 2.521912644317772e+11
1.863246311931560e-03 2.521847167127636e+11
1.876174691439121e-03 2.521780779728415e+11
1.889192776207666e-03 2.521713469489563e+11
1.902301188668944e-03 2.521645223605891e+11
1.915500555573528e-03 2.521576029095175e+11
1.928791508020778e-03 2.521505872795727e+11
1.942174681489027e-03 2.521434741363926e+11
1.955650715865949e-03 2.521362621271733e+11
1.969220255479171e-03 2.521289498804149e+11
1.982883949127072e-03 2.521215360056666e+11
1.996642450109793e-03 2.521140190932657e+11
2.010496416260499e-03 2.521063977140748e+11
2.024446509976804e-03 2.520986704192151e+11
2.038493398252464e-03 2.520908357397958e+11
2.052637752709252e-03 2.520828921866398e+11
2.066880249629082e-03 2.520748382500063e+11
2.081221569986339e-03 2.520666723993091e+11
2.095662399480433e-03 2.520583930828313e+11
2.110203428568597e-03 2.520499987274362e+11
2.124845352498883e-03 2.520414877382747e+11
2.139588871343421e-03 2.520328584984873e+11
2.154434690031884e-03 2.520241093689046e+11
2.169383518385184e-03 2.520152386877410e+11
2.184436071149428e-03 2.520062447702866e+11
2.199593068030075e-03 2.519971259085937e+11
2.214855233726359e-03 2.519878803711592e+11
2.230223297965939e-03 2.519785064026035e+11
2.245697995539774e-03 2.519690022233440e+11
