<X> <Y>
2.822590377758481e-02 1.733631670499723e+11
2.956528602496994e-02 1.648808478972685e+11
3.096822495485305e-02 1.560163641906559e+11
3.243773647393144e-02 1.467979449758293e+11
3.397697960041880e-02 1.372634564242531e+11
3.558926325500659e-02 1.274612554971671e+11
3.727805337407182e-02 1.174508384624207e+11
3.904698036042249e-02 1.073031856422697e+11
4.089984688759735e-02 9.710068993748140e+10
4.284063607449740e-02 8.693654747724875e+10
4.487352004792172e-02 7.691348753913757e+10
4.700286891141484e-02 6.714172974157175e+10
4.923326013970614e-02 5.773608396972784e+10
5.156948841893605e-02 4.881215702484843e+10
5.401657595382337e-02 4.048170310660458e+10
5.657978326393033e-02 3.284725422574483e+10
5.926462049223502e-02 2.599628886344781e+10
6.207685925032052e-02 1.999533420775972e+10
6.502254502564488e-02 1.488453314318827e+10
6.810801017756359e-02 1.067331743606756e+10
7.133988755004285e-02 7.337881182983411e+09
7.472512473032619e-02 4.821107439298760e+09
7.827099898420638e-02 3.035433099943934e+09
8.198513290001026e-02 1.868824066080009e+09
8.587551077492490e-02 1.193584326063453e+09
8.995049577889155e-02 8.771901380497776e+08
9.421884793296548e-02 7.938233688507015e+08
9.868974294078842e-02 8.349157787980310e+08
1.033727919136565e-01 9.169596117149036e+08
1.082780620315877e-01 9.852007072442971e+08
1.134160981848019e-01 1.012617483058761e+09
1.187979456421381e-01 9.946586223991522e+08
1.244351737951392e-01 9.412647279797076e+08
1.303399010288461e-01 8.683556205633490e+08
1.365248207727661e-01 7.909221661216506e+08
1.430032287880195e-01 7.190732974350899e+08
1.497890517493212e-01 6.571667417231568e+08
1.568968771832412e-01 6.050736393310870e+08
1.643419848271027e-01 5.602286653588461e+08
1.721403794759309e-01 5.195124755597804e+08
1.803088253880614e-01 4.807341935049605e+08
1.888648823233727e-01 4.437850212097191e+08
1.978269432916132e-01 4.110920229359910e+08
2.072142740919709e-01 3.864295383240650e+08
2.170470547288830e-01 3.716667015198444e+08
2.273464227931203e-01 3.631283114374809e+08
2.381345189013994e-01 3.513444337968332e+08
2.494345342922059e-01 3.269322910308703e+08
2.612707606801477e-01 2.897530048759716e+08
2.736686424760069e-01 2.523263925927159e+08
2.866548314847516e-01 2.302052434165737e+08
3.002572441990878e-01 2.252594648612672e+08
3.145051218117226e-01 2.209686548941466e+08
3.294290930753407e-01 2.008299281507522e+08
3.450612401454263e-01 1.707406600395009e+08
3.614351675474782e-01 1.520398377461461e+08
3.785860744168699e-01 1.492141241786893e+08
3.965508301666525e-01 1.424544368572516e+08
4.153680537459675e-01 1.226670372503861e+08
4.350781966594453e-01 1.074201990530110e+08
4.557236299260591e-01 1.042962209356626e+08
4.773487351643757e-01 9.665685290397742e+07
5.000000000000000e-01 8.297191027024296e+07
